cytoband	22q13.32	9p21.3	8p23.2	1p36.11	11q25	1p36.32	8p21.1	13q14.2	11q23.3	2q37.3	6q16.2	19p13.3	13q11	15q14	10q23.31	12q23.1	11q12.2	1p22.1	9p23	3p22.1	6q25.3	10q25.1	11p15.5	22q12.3	13q12.12	17q25.1	6q22.1	14q24.2	15q13.1	19q13.32	11q13.1	15q24.2	17q21.2	9p22.3	4q35.2	6q23.3	12p11.22	
						TEKT2			LOC100652768							CCDC60				OSBPL10		CCDC172						SYNE3	CT62	SNAR-A12	HRASLS2	DNM1P46	NT5C3B		UGT2A1	ZSCAN9	ZNF10	
						SMPDL3B			KIRREL3-AS2							PGAM5				SLC25A26		DMBT1P1						TMEM30B	MGC15885	BSPH1	VPS37C	CT62	ABHD15		CCNI	ZNF204P	ZNF26	
						LINC00339			LOC101054525							RILPL2				ZNF501		CC2D2B						SAMD15	LCTL	SNAR-A3	NAT10	GRAMD2	TLCD1		LIAS	PTP4A1	ZNF84	
						SSU72			LOC101928424							DNAH10				LRRC3B		ENO4						EML5	UBR1	SNAR-A5	CCDC87	MGC15885	RFFL		ADAM29	DEK	ZNF140	
						GNL2			LOC101928535							PLBD2				GPR62		ARMS2						LINC00638	PATL2	SNAR-A7	PPP6R3	LCTL	ZPBP2		PRDM5	ALDH5A1	MAP3K12	
						UBIAD1			LOC101928823							FAM71C				KCNH8		TEX36						NUDT14	SPESP1	SNAR-A11	UEVLD	CERS3	SPATA32		LSM6	PRRC2A	TUBA1A	
						PADI1			LOC101928847							RMST				FAM3D		LINC00959						LINC00521	LPCAT4	SNAR-A4	LIN7C	SPESP1	HEXIM2		NUDT6	BAG6	FGF23	
						PLA2G2E			LOC101928940							CCER1				LYZL4		GUCY2GP						SERPINA11	GOLGA2P11	SNAR-A6	SLC35C1	LINGO1-AS1	LSM12		ANXA10	GPANK1	MFAP5	
						WRAP73			LOC101928985							SLC17A8				KLHL40		NKX1-2						PROX2	PLA2G4F	SNAR-A8	TCP11L1	MIR9-3HG	CCDC43		KLHL2	DDX39B	USP5	
						SLC45A1			LOC101929011							TTC41P				TRIM71		LBX1-AS1						LOC283575	LRRC57	SNAR-A10	LGR4	GOLGA2P11	CNTD1		SCRG1	ABHD16A	MLF2	
						HP1BP3			LOC101929089							LRRC43				TMEM42		C10orf120						ZDHHC22	LYSMD2	SNAR-C2	SOX6	SNX33	TMEM132E		HSPA4L	SLC39A7	SSPN	
						CELA2B			LOC101929208							TCP11L2				IQCF1		LOC399815						TMED8	NUTM1	SNAR-C4	CDC42BPG	LINC00926	SPACA3		SEC31A	HSD17B8	KMT2D	
						ZNF593			LOC101929227							TBX5-AS1				GLYCTK		METTL10						C14orf178	WDR72	SNAR-E	OTUB1	EWSAT1	SGK494		RUFY3	OR2H2	AAAS	
						ZNF691			LOC101929340							LINC01619				PPM1M		FLJ37035						LOC283585	HMGN2P46	SNAR-C1	AMBRA1	REC114	SEZ6		MMRN1	NELFE	YEATS4	
						MECR			LOC101929427							POC1B				C3orf49		FOXI2						LINC01146	SLC24A5	SNAR-C3	PACS1	LINC01579	ANKRD13B		LIMCH1	LST1	HMGA2	
						UTP11			LOC101929473							LOC283352				SNTN		LINC01164						FAM181A-AS1	PRTG	SNAR-G2	KBTBD4	ST20-AS1	GJD3		WDFY3	PLA2G7	ALX1	
						SDF4			LOC101929497							ADGRD1				SYNPR		LINC01168						SNHG10	LINC00926	SRRM5	PARVA	LINC00927	KRT222		PALLD	TFEB	CDK2AP1	
						MRTO4			LOC101929517							MORN3				LSMEM2		SPRNP1						C14orf177	EWSAT1	ERICH4	TTC17	CPEB1-AS1	KRT40		DCUN1D4	RNF217-AS1	KLRC4	
						TMEM69			LOC101929538							GAS2L3				ASB14		GOLGA7B						SLC25A47	LOC283683	SNAR-A14	SLC22A11	ACTG1P17	C17orf50		TBC1D9	EPM2A	BRAP	
						HPCAL4			LINC01395							LINC00485				FAM19A4		LINC01561						LINC00523	GOLGA6L2	EML2-AS1	GPR137	SAXO2	SLFN13		METAP1	HIST1H4I	ULK1	
						YTHDF2			MIR6756							MYO1H				SGO1		FAM45A						CEP170B	OR4N4	LOC100289650	PRDM11	LOC283731	SLC35G3		TBC1D1	HIST1H2AI	EEA1	
						ZCCHC17			MIR7641-1							HECTD4				PP2D1		MIR107						C14orf80	LOC283710	LOC100379224	CABP4	NTRK3-AS1	UNC45B		SEL1L3	HIST1H2AK	SOAT2	
						PADI3			MIR7641-2							KSR2				EFHB		C10orf62						ADAM20P1	FAM98B	MIR3191	SLC17A6	LINC00928	CD300LG		KIAA0922	HIST1H2AJ	RASAL1	
						CMPK1			MIR6090							GATC				CCDC12		FRG2B						C14orf39	PLA2G4D	MIR3190	CD248	FAM169B	KIF18B		PDS5A	HIST1H2AL	DYRK2	
						ERRFI1			MIR6716							HNF1A-AS1				PPP4R2		SPRN						CCDC85C	HERC2P3	MIR320E	CORO1B	FBXL22	RUNDC1		ADGRL3	HIST1H2AC	PPFIBP1	
						WNT4			LOC102723838							DDX51				LINC00691		MIR146B						ITPK1-AS1	GOLGA6L1	MIR4324	SCYL1	TMEM202	TMEM199		TRIM2	HIST1H2AB	PPFIA2	
						FBXO42			LOC102723895							MMAB				ZCWPW2		MIR202						SNORD56B	GOLGA8G	MIR4323	CARNS1	LOC338963	PROCA1		MAN2B2	HIST1H2AM	YBX3	
						RNF186			LOC102724301							HCAR2				CMC1		NPS						SERPINA9	GOLGA8IP	MIR642B	SYT13	GOLGA6A	DHRS13		ANP32C	HIST1H2BG	LGR5	
						MXRA8			PKNOX2-AS1							LINC00936				NEK10		SCART1						LINC00524	FBXL22	PCAT19	LRRC4C	TMC3	CRHR1-IT1		SLC7A11	HIST1H2BL	MAPKAPK5	
						HES2			APOA1-AS							TMEM119				CMTM8		SNORA19						LINC00226	SNORD108	LOC100505585	POLD4	ZNF774	LINC00974		NOCT	HIST1H2BN	DENR	
						GPN2			LOC105369473							LOC338797				CCDC13		FAM196A						LINC00221	SNORD109A	LOC100505622	MS4A7	RBPMS2	WIPF2		PARM1	HIST1H2BM	RDH16	
						FBLIM1			LOC105369486							LINC01089				XIRP1		LINC00865						VSX2	SNORD115-1	NAPA-AS1	ALX4	ANKDD1A	KRT25		FAM149A	HIST1H2BF	NPFF	
						MED18			LOC105369507							C12orf74				PRICKLE2		RPL13AP6						LRRC9	WHAMMP3	LOC100505715	FAM111A	ARPIN	TMEM99		RCHY1	HIST1H2BE	HSD17B6	
						TRIT1			LOC105369509							EP400NL				TTC21A		SNORA12						COX8C	GLDN	CARD8-AS1	ANO3	TEX9	SLFN5		ANKRD17	HIST1H2BH	OASL	
						PQLC2			LOC105369532							RILPL1				C3orf67		MIR607						ASPG	FMN1	PPP5D1	MS4A6A	GOLGA6L5P	NAGS		STAP1	HIST1H2BI	DYNLL1	
						CASZ1			STT3A-AS1							C12orf42				KCTD6		MIR608						RAB15	SNORD64	DACT3-AS1	MS4A5	KIF7	FAM134C		FBXL5	HIST1H2BC	SRSF9	
						RHBDL2										IL31				KLHDC8B		MIR609						MIR381HG	PWAR4	GFY	KLC2	ZNF710	RHBDL3		FBXO8	HIST1H2BO	GALNT4	
						ADPRHL2										C12orf75				STT3B		ENTPD1-AS1						PSMA3-AS1	PWARSN	MIA-RAB4B	TUT1	HDDC3	SPPL2C		CHIC2	HIST1H3A	CRADD	
						TRNAU1AP										CFAP73				LINC00870		RPL13AP5						TOMM20L	RBPMS2	RAB4B-EGLN2	MRPL11	WASH3P	KRT28		SMR3A	HIST1H3D	HRK	
						C1orf109										TMEM233				DNAH12		RPEL1						SERPINA13P	ANKDD1A	APOC4-APOC2	C11orf95	C2CD4B	KRT24		NSG1	HIST1H3C	ADAM1A	
						CPSF3L										KMT5A				PDE12		TLX1NB						LINC01550	LINC01193	MIR4531	LRFN4	C15orf59	ARHGAP27		PPA2	HIST1H3E	DYRK4	
						C1orf159										LINC00944				DENND6A		MIR936						RTL1	MRPL42P5	NUCB1-AS1	AHNAK	GOLGA2P7	ZNF385C		DAPP1	HIST1H3I	LIN7A	
						AURKAIP1										MKRN9P				CADM2		C10orf131						TMEM179	USP50	LIPE-AS1	PRRG4	UBE2Q2P1	LYRM9		DKK2	HIST1H3G	SOCS2	
						MRPL20										C12orf76				ZNF620		PLCE1-AS1						SERPINA2	TEX9	LOC101059948	TMEM223	SPATA41	RDM1		FAM184B	HIST1H3J	HCAR3	
						AIM1L										LINC00939				ALS2CL		ADGRA1-AS1						HEATR4	IGHV1OR15-1	LINC01480	TMEM109	KBTBD13	GAS2L2		INTU	HIST1H3H	ENDOU	
						TMEM51										FLJ37505				TMIE		ATE1-AS1						FLJ22447	C15orf52	LOC101928063	CCDC86	UBAP1L	STH		NAAA	HIST1H3B	TIMELESS	
						BSDC1										MIR135A2				EOGT		TEX36-AS1						PLEKHD1	TNFAIP8L3	LOC101928295	LBHD1	SKOR1	HEATR9		GPR78	HIST1H4A	HIP1R	
						XKR8										LOC414300				FBXW12		HECTD2-AS1						FOXN3-AS1	C2CD4B	LOC101930071	C11orf49	ANKRD34C	KANSL1		COQ2	HIST1H4D	GPRC5A	
						TMEM39B										LINC00615				ENTPD3-AS1		DNMBP-AS1						LINC00642	GOLGA8EP	MIR6088	TRIM48	GDPGP1	C17orf105		ARFIP1	HIST1H4F	KRT75	
						CDCA8										PLEKHG7				ZNF619		DUX4						DICER1-AS1	OR4M2	MIR6796	C11orf80	OR4F6	FAM171A2		SULT1B1	HIST1H4K	SCAF11	
						ARHGEF10L										LOC440117				ZNF621		KCNIP2-AS1						C14orf180	OR4N3P	MIR6797	E2F8	OR4F15	MEIOC		PDLIM3	HIST1H4J	RASSF9	
						RNF220										FZD10-AS1				LINC00877		MIR1287						MIR127	HERC2P10	MIR8077	ZNF408	OR4F13P	KRT18P55		HPGDS	HIST1H4C	SLC16A7	
						VPS13D										MIR331				LINC00692		MIR1307						MIR134	KBTBD13	MIR8085	NAA40	ADAMTS7P1	NEK8		ZNF330	HIST1H4H	PIWIL1	
						EVA1B										EID3				CCDC66		MIR2110						MIR136	UBAP1L	MIR6719	QSER1	ST20	PIGW		TMPRSS11E	HIST1H4B	CD163	
						ATAD3A										CLLU1OS				TCAIM		MIR548E						MIR154	SKOR1	MIR6798	AGBL2	FAM174B	C17orf78		ZCCHC4	HIST1H4E	MED21	
						TMEM57										CLLU1				ZNF852		MIR378C						MIR203A	SHC4	LOC105372419	ZBTB3	LINC01197	YWHAEP7		ANAPC4	HIST1H4L	DDX23	
						TRIM62										MIR492				ZNF660		MIR4297						MIR299	CTXN2	LOC105447645	CPSF7	LOC400464	CISD3		SPOCK3	HIST1H4G	CABP1	
						PANK4										MAP1LC3B2				KIF9-AS1		MIR3157						LINC00238	HERC2P2	PLA2G4C-AS1	PRR5L	MIR184	GSDMA		MRPS18C	STX7	SLC4A8	
						CAMK2N1										LOC643339				LINC00698		MIR3158-1						CCDC88C	C15orf53	GLTSCR2-AS1	ASRGL1	MIR190A	KRT42P		LAP3	CMAHP	GDF3	
						ASAP3										LOC643711				EIF4E3		MIR4295						TEX21P	C15orf54		TMEM134	MIR7-2	PTRF		KLHL5	DHX16	NCOR2	
						POMGNT1										LOC643770				CCDC36		MIR3158-2						MIR323A	DUOXA2		MUS81	MIR9-3	FAM27E5		SEPSECS	SUPT3H	WSCD2	
						PNRC2										ANHX				LOC339862		MIR4296						MIR337	MIR190A		INTS5	LINC00593	FLJ36000		COPS4	PEX3	ESPL1	
						PIGV										SNORA49				C3orf35		MIR3941						MIR342	MIR211		ZFP91	UBL7-AS1	KLHL10		AADAT	GCM1	SART3	
						NBPF1										SNORA53				GADL1		MIR3663						MIR345	LINC00593		OR8J3	GOLGA6L9	ASB16-AS1		HSD17B11	DDO	KNTC1	
						MAP7D1										MIR619				PRSS42		MIR3944						MIR376C	NF1P2		OR4P4	DNM1P41	MSL1		LEF1	RNASET2	CLSTN3	
						NECAP2										MIR620				ZNF860		SLIT1-AS1						MIR369	GOLGA6L22		OR4C15	LOC440300	KRT27		HERC5	KCNK5	MLEC	
						IQCC										LOC728084				ZNF445		LINC00866						MIR370	HERC2P9		OR4A5	TTLL13P	SLFN14		KLF3	STX11	DAZAP2	
						DNAJC11										C12orf73				SPATA12		RPARP-AS1						MIR376A1	WHAMMP2		OR4A16	LOC440311	LRRC37A11P		FAM198B	B3GALT4	GIT2	
						RCC2										LOC728739				TOPAZ1		SH3PXD2A-AS1						MIR377	GOLGA8B		OR4A15	PRKXP1	STAC2		PLAC8	SNX3	TESPA1	
						DMAP1										TMPO-AS1				C3orf62		CFAP58-AS1						MIR379	EIF2AK4		OR10W1	MIR422A	CCL15-CCL14		LARP7	RNGTT	C2CD5	
						AJAP1										LOC100128554				TMEM110		SORCS3-AS1						MIR380	CATSPER2P1		OR10V2P	CPLX3	KRT26		EMCN	RIPK1	ZBTB39	
						TMEM234										LOC100130238				PRSS45		ADD3-AS1						MIR381	UNC13C		UNC93B1	SNORD16	EFCAB5		MYOZ2	CD164	NUAK1	
						MTFR1L										LINC01405				AMIGO3		LINC00867						MIR382	MIR422A		RAB1B	SNORD18A	TMIGD1		ASIC5	SYNGAP1	RBM19	
						CTNNBIP1										USP30-AS1				ZNF662		TNKS2-AS1						MIR433	LINC00929		KIF18A	SNORD18B	CCL4L1		GALNT7	WISP3	NCAPD2	
						RSRP1										PGAM1P5				CDHR4		MARK2P9						MIR431	CKMT1A		C11orf68	SNORD18C	C17orf98		NUDT9	STK19	RNF10	
						AGTRAP										LOC100190940				FAM212A		BORCS7-ASMT						MIR329-1	SNORD16		MS4A8	GOLGA6L17P	LINC00671		NUP54	IER3	PAN2	
						PITHD1										LINC00173				IQCF2		ARHGAP19-SLIT1						MIR329-2	SNORD18A		FERMT3	LOC642423	CCDC103		STX18	SYNJ2	USP15	
						MAN1C1										LOC100287944				IQCF5		FAM24B-CUZD1						MIR323B	SNORD18B		TRPT1	GOLGA6L4	ARL5C		FGFRL1	VNN2	NR1H4	
						NIPAL3										ZNF605				MUSTN1		MIR4680						MIR409	SNORD18C		RBM4B	NR2F2-AS1	KRT39		CLDN22	VNN1	CLEC2B	
						SEPN1										MIR1827				VGLL3		MIR4483						MIR412	SERINC4		FRMD8	LOC645752	MYO18A		CYTL1	PRPF4B	SH2B3	
						TP73-AS1										MIR1302-1				VENTXP7		MIR4682						MIR410	C15orf62		RNASEH2C	SH2D7	C17orf102		GAR1	WASF1	TROAP	
						PLEKHG5										MIR1178				IQCF3		MIR4482						MIR376B	GOLGA8N		FAR1	LOC646938	MIR144		SH3TC1	HIST1H3F	DNM1L	
						LRRC47										MIR1251				LINC00960		MIR4484						MIR485	C15orf56		BTBD10	GOLGA6L10	MIR193A		UGT2B28	HIST1H2AG	ABCC9	
						DISP3										MIR4303				MIRLET7G		MIR4681						MIR493	PHGR1		EIF1AD	EFTUD1P1	TBC1D3B		RBM47	HIST1H2BJ	ARPC3	
						KIF17										MIR4304				MIR128-2		MIR4685						MIR432	EIF3J-AS1		NUDT22	GOLGA6C	TBC1D3C		PCDH18	RNF8	TSFM	
						ZSWIM5										MIR3685				MIR135A1		LINC00502						MIR494	CHEK2P2		ARFGAP2	GOLGA6D	CCL3L3		USP53	TAAR5	CTDSP2	
						KIAA1522										MIR3612				MIR138-1		LINC00601						MIR495	LOC646214		SYVN1	HSP90AB4P	TBC1D3P5		DKFZP434I0714	MAP7	YAF2	
						HES4										MIR3652				MIR191		FANK1-AS1						MIR496	CXADRP2		ACCS	SCARNA15	SUZ12P1		OTUD4	TBX18	PLXNC1	
						GRHL3										MIR3922				MIR26A1		LINC01375						MIR487A	PDCD6IPP2		MS4A14	SCARNA14	LOC440434		NKX1-1	LATS1	LPCAT3	
						DLGAP3										MIR3657				FAM19A1		LOC101926942						ACOT1	IGHV1OR15-3		TRIM51	FBXO22-AS1	GPR179		TET2	GCM2	RNF41	
						IL22RA1										MIR3908				EIF1B-AS1		PLCE1-AS2						ACOT6	REREP3		PTPN5	MIR549A	LRRC37A2		DCHS2	WDR46	MPHOSPH9	
						HIVEP3										LOC100505978				TMEM89		LOC101927278						FUT8-AS1	GOLGA8S		MICALCL	MIR629	FBXO47		ARHGEF38	ZBTB22	KLRG1	
						GPBP1L1										LINC01234				IQCF6		LINC01475						LINC00643	GOLGA8J		LGALS12	MIR630	MIR423		PIGG	TAAR2	GDF11	
						MIIP										LOC100506551				SMIM4		LINC01163						LOC646548	GOLGA8T		SNORD14B	MIR631	ARGFXP2		DCAF16	TAAR3	LRRC23	
						CELA2A										PXN-AS1				LINC00971		LINC01514						SYNDIG1L	GOLGA8K		TNKS1BP1	LOC727751	DPRXP4		OCIAD1	CD83	TMEM5	
						GPATCH3										NRAV				MIR425		LOC101927419						RD3L	GOLGA8M		GAL3ST3	AGBL1-AS1	MIR451A		COMMD8	HMGN3	CNPY2	
						CLSPN										LOC100506691				SNORA6		LOC101927472						TEX22	HSP90AB4P		NAV2	ASB9P1	SNORA21		ODAM	PPT2	TUBA1B	
						PRDM16										LRCOL1				TMPPE		TCERG1L-AS1						MIR539	SCARNA14		TSPAN18	LOC729739	LOC644172		HPF1	CDYL	RAPGEF3	
						OXCT2										CLIP1-AS1				LIMD1-AS1		LOC101927523						MIR544A	MIR626		CREB3L1	ANKRD34C-AS1	KANSL1-AS1		HERC6	NCR2	EMG1	
						RRAGC										LOC100507091				THRB-AS1		LOC101927549						MIR376A2	MIR627		AP5B1	FAM138E	SEBOX		MCUB	MED23	MCRS1	
						TINAGL1										LINC00943				LINC00693		LINC01166						MIR487B	MIR628		CCDC34	LOC100128108	KRTAP4-11		MARCH1	QKI	IPO8	
						P3H1										POC1B-GALNT4				SPINK8		MIR202HG						SCARNA13	MIR629		SLC39A13	DNM1P35	SNORD7		BANK1	LY86	P3H3	
						PLA2G2F										ZNF664-FAM101A				ARIH2OS		LOC101927692						SNORA28	ANP32AP1		DEPDC7	USP3-AS1	MIR632		LARP1B	FHL5	DCTN2	
						SMAP2										MIR4498				C3orf84		MIR3663HG						SNORA79	GOLGA6L6		SYT12	GOLGA6L3	KRTAP4-8		SDAD1	AKAP7	AKAP3	
						ATPAF1										MIR4496				SNORD19		FAM53B-AS1						SNORD112	LOC727924		ACY3	UBE2Q2P2	KRTAP1-4		TMEM33	ATG5	CCT2	
						S100PBP										MIR4495				FAM86DP		EDRF1-AS1						MIR411	GOLGA8O		GLYATL1	LINC00930	KRTAP2-2		LGI2	MED20	SLCO1B1	
						MEAF6										MIR4419B				SNORD69		MIR6507						MIR625	GOLGA6L7P		CDCA5	ADPGK-AS1	KRTAP9-1		BBS7	SLC25A27	RAD51AP1	
						EXO5										MIR4472-2				MIR564		MIR6715B						MIR654	GOLGA8H		RPLP0P2	LOXL1-AS1	NSFP1		UBA6	TBPL1	CAMKK2	
						CEP85										MIR4700				MIR566		MIR6715A						MIR655	PIN4P1		SAAL1	DDX11L9	TBC1D3		NEIL3	EEF1E1	AVIL	
						NMNAT1										MIR4497				GXYLT2		LOC102723665						MIR656	OIP5-AS1		SLC22A9	MIR1276	TBC1D3H		PGM2	BAG2	PTGES3	
						ELOVL1										MIR5188				LOC728290		NEURL1-AS1						CCDC175	GOLGA8CP		C1QTNF4	MIR1272	KRTAP2-3		C4orf19	POLR1C	KLRA1P	
						VWA1										MIR5700				LOC729083		LOC102724589						LOC730202	PWRN1		PTPMT1	MIR1179	MIR365B		FBXW7	MAD2L1BP	ZNF268	
						MRPS15										MIR548AQ				FAM198A		LOC103344931						LINC01220	PWRN2		BATF2	MIR1469	MAPT-AS1		TBC1D19	WTAP	FRS2	
						PINK1										LINC00507				CCR2		LINC01435						SNORD113-1	SNORD116-1		SLC22A12	MIR1302-2	MAPT-IT1		PI4K2B	AKAP12	TSPAN9	
						MARCKSL1										LOC100996671				ESRG		LINC01167						SNORD113-2	SNORD116-2		MRGPRD	MIR2116	LINC00910		TMEM144	MDC1	TRAFD1	
						PRAMEF1										LOC100996679				SNORD19B		XLOC_008559						SNORD113-3	SNORD116-3		MRGPRF	MIR1302-9	LOC100131347		TMA16	TRAM2	OS9	
						PRAMEF2										ZNF891				LINC00696		LOC105378430						SNORD113-4	SNORD116-4		CATSPER1	MIR1302-10	KRTAP4-9		UFSP2	KIAA0408	TMED2	
						NADK										LOC101593348				ACVR2B-AS1		LOC105378470						SNORD113-5	SNORD116-5		MRGPRX2	MIR3174	KRTAP4-7		BLOC1S4	PHACTR2	ERP29	
						ZFP69B										LOC101927415				SEMA3F-AS1		AS-PTPRE						SNORD113-6	SNORD116-8		MRGPRX3	MIR4311	MAP3K14-AS1		ZGRF1	FAM65B	CKAP4	
						PHACTR4										LOC101927464				NRADDP		SNORA87						SNORD113-7	SNORD116-10		MRGPRX4	MIR1302-11	C17orf96		STK32B	ZSCAN12	GCN1	
						AUNIP										LOC101927592				ZNF717								SNORD113-8	SNORD116-11		HRASLS5	MIR4312	RAMP2-AS1		AP1AR	BCLAF1	METAP2	
						ERI3										LOC101927616				LOC100132146								SNORD113-9	SNORD116-12		C11orf74	MIR3175	MIR2117		MAML3	CUL7	SDS	
						C1orf50										LOC101927637				BSN-AS2								SNORD114-1	SNORD116-13		OR4C46	MIR4313	MIR4315-2		CHRNA9	ZBTB24	GLIPR1	
						CCDC28B										LOC101927694				PRSS46								SNORD114-2	SNORD116-14		OR4X2	MIR3713	MIR2909		BMP2K	KIAA0319	ATF7	
						EFHD2										LOC101927735				LINC00994								SNORD114-3	SNORD116-15		OR4B1	SNHG21	MIR3184		DDX60	SNAP91	RAB35	
						MMEL1										LINC01486				FRG2C								SNORD114-4	SNORD116-16		LARGE2	UBE2Q2L	MIR4315-1		CDKN2AIP	FIG4	CPSF6	
						RSG1										TESC-AS1				MIR1284								SNORD114-5	SNORD116-17		CYP2R1	IQCH-AS1	MTRNR2L1		LYAR	NUP153	SNRNP35	
						OR4F5										LOC101928416				MIR1324								SNORD114-6	SNORD116-18		DBX1	LINC00933	LINC00672		TENM3	CASP8AP2	KERA	
						NKAIN1										LOC101928530				MIR1226								SNORD114-7	SNORD116-20		DNAJC24	PRC1-AS1	LRRC3C		N4BP2	RANBP9	KRR1	
						MUL1										LOC101928597				MIR2115								SNORD114-8	SNORD116-21		ARL14EP	LINC01578	KRTAP9-7		TMEM184C	SLC17A4	PRDM4	
						TMEM53										LOC101928617				MIR711								SNORD114-9	SNORD116-22		OR8I2	LOC100507472	KRTAP16-1		SEPT11	UST	CIT	
						AKIRIN1										LOC101928731				MIR3136								SNORD114-10	SNORD116-23		LDLRAD3	C15orf38-AP3S2	LOC100505782		EXOC1	TRIM10	PWP1	
						HECTD3										LOC101928937				MIR3135A								SNORD114-11	SNORD116-24		MUC15	ST20-MTHFS	ARL17B		LRP2BP	FLOT1	FICD	
						YRDC										LOC101929058				MIR4272								SNORD114-12	SNORD116-25		C11orf94	MIR4512	SPAG5-AS1		TMEM165	RCAN2	NUDT4	
						NOL9										LOC101929084				MIR4271								SNORD114-13	SNORD115-2		C11orf84	MIR4514	AA06		PDGFC	SLC17A2	STRAP	
						PPCS										CASC18				MIR4273								SNORD114-14	SNORD116-26		PLEKHA7	MIR4513	SLFN12L		SLC2A9	HCG9	BAZ2A	
						LIN28A										LOC101929162				MIR466								SNORD114-15	SNORD116-27		SPTY2D1	MIR3529	KRTAP9-6		FSTL5	PRSS16	WIF1	
						SH3D21										MIR6760				MIR3938								SNORD114-16	SNORD115-3		TMEM86A	MIR4511	RAD51L3-RFFL		BDH2	CRISP3	FZD10	
						SNIP1										MIR6761				MIR3923								SNORD114-17	SNORD115-4		SLC5A12	MIR4515	KRTAP29-1		SMARCAD1	TRDN	IRAK3	
						AGMAT										MIR6762				UBE2E2-AS1								SNORD114-18	SNORD115-5		LDHAL6A	MIR4714	LRRC37A8P		MEPE	CITED2	GALNT6	
						ZMYM1										MIR6861				KRBOX1								SNORD114-19	SNORD115-6		GPHA2	SPATA8-AS1	MIR4523		STOX2	BTN3A3	RASSF8	
						LINC00115										MIR7107				KRBOX1-AS1								SNORD114-20	SNORD115-7		METTL15	MYZAP	MIR4728		PRDM8	BTN2A2	NXPH4	
						MORN1										MIR7641-2				PRKAR2A-AS1								SNORD114-21	SNORD115-8		IMMP1L	MIR5009	MIR4726		UTP3	ECI2	XPOT	
						FAM110D										MIR7844				IQCF4								SNORD114-22	SNORD115-10		ANO5	MIR5572	MIR4734		INTS12	PFDN6	PRR4	
						KIAA0319L										MIR6763				PTPRG-AS1								SNORD114-23	SNORD115-11		OR8U1	MIR5094	MIR4724		ANKRD50	HMGN4	GPR182	
						DHDDS										MIR6880				PSMD6-AS2								SNORD114-24	SNORD115-12		OR4C16	MIR548AP	MIR4733		ATP10D	TRIM38	PHB2	
						GPR157										MIR7106				ADAMTS9-AS2								SNORD114-25	SNORD115-13		OR4C11	LINC01314	MIR451B		DANCR	CAP2	COPZ1	
						ZC3H12A										MIR8072				ABHD14A-ACY1								SNORD114-26	SNORD115-14		OR4S2	RORA-AS2	MIR4522		KIAA1211	SYNCRIP	PHLDA1	
						SPSB1										THRIL				TMEM110-MUSTN1								SNORD114-27	SNORD115-15		OR4C6	NPTN-IT1	MIR4732		RNF150	UBD	R3HDM2	
						CPTP										LINC01498				MIR4793								SNORD114-28	SNORD115-16		OR5D14	CRTC3-AS1	MIR4723		NWD2	AGPAT1	MLXIP	
						ZNF436										LOC102724933				MIR4787								SNORD114-29	SNORD115-17		OR5L1	LOC101926911	MIR4727		TBC1D14	SLC35A1	RPH3A	
						TAS1R2										LHX5-AS1				MIR4795								SNORD114-30	SNORD115-18		OR5D18	CRAT37	MIR4725		SORCS2	SCGN	KLRK1	
						TAS1R1										LINC00508				MIR4791								SNORD114-31	SNORD115-20		OR7E5P	LINC01581	MIR548AT		CC2D2A	DNPH1	P2RX2	
						GJA9										LOC105369879				MIR4444-1								MIR758	SNORD115-21		OR5AS1	LINC01580	MIR5010		KLHL8	C6orf10	RAB21	
						OR4F16										LOC105369891				MIR4443								MIR668	SNORD115-22		OR8K5	LOC101927153	NARR		PCDH10	FARS2	STK38L	
						SYNC										LOC105369893				MIR4792								MIR770	SNORD115-23		OR5T2	LOC101927286	LINC00854		CFAP97	FUT9	FBXO21	
						ACTL8										LOC105369911				MIR4442								SNORA11B	SNORD115-25		OR8H1	LOC101927310	PTGES3L		FNIP2	CNPY3	FAIM2	
						TSSK3										LOC105369920				PRICKLE2-AS1								MIR300	SNORD115-26		OR8K3	LINC01582	PTGES3L-AARSD1		SLAIN2	TRAF3IP2	MON2	
						CCNL2										LOC105369921				RBM5-AS1								MIR541	SNORD115-29		OR8J1	LOC101927751	TBC1D3G		SHROOM3	HBS1L	SETD1B	
						HYI										LOC105369945				LINC00506								MIR665	SNORD115-30		OR5R1	LINC01413	TBC1D3K		STIM2	SLC17A3	UHRF1BP1L	
						SH3BGRL3										KCCAT198				MIR5688								MIR543	SNORD115-31		OR5M3	LIPC-AS1	TBC1D3L		SH3RF1	RPP40	ERC1	
						SESN2										LOC105369980				MIR5193								MIR889	SNORD115-32		OR5M8	LOC101928725	LOC101060389		UVSSA	FRS3	DDN	
						ESPN										LOC105370014				SNRK-AS1								LOC100128233	SNORD115-33		OR5M11	RORA-AS1	SNORD124		METTL14	PDE10A	ANKLE2	
						TAS1R3										LOC105370016				RBMS3-AS1								ZBTB42	SNORD115-34		OR5AR1	LOC101928907	RUNDC3A-AS1		WDR19	SLC22A7	NEMP1	
						ATAD3B										LOC105370024				RBMS3-AS3								LOC100129345	SNORD115-35		OR5AK4P	LOC101928988	LINC01180		ZFYVE28	HCP5	CUX2	
						STK40										LOC105370068				MAGI1-AS1								LINC00605	SNORD115-36		LRRC55	LOC101929076	LOC101927018		GBA3	EHMT2	KIAA1033	
